category_id,category
25,soap
40,dog food care
94,tea
53,cream
32,packaged produce
37,ice cream ice
81,canned jarred vegetables
38,frozen meals
27,beers coolers
36,butter
21,packaged cheese
68,bulk grains rice dried goods
106,hot dogs bacon sausage
15,packaged seafood
93,breakfast bakery
50,fruit vegetable snacks
19,oils vinegars
5,marinades meat preparation
20,oral hygiene
1,prepared soups salads
85,food storage
39,seafood counter
107,chips pretzels
75,laundry
23,popcorn jerky
66,asian foods
16,fresh herbs
77,soft drinks
54,paper goods
12,fresh pasta
9,pasta sauce
126,feminine care
118,first aid
28,red wines
51,preserved dips spreads
100,missing
97,baking supplies decor
108,other creams cheeses
113,frozen juice
112,bread
91,soy lactosefree
62,white wines
49,packaged poultry
114,cleaning products
134,specialty wines champagnes
87,more household
11,cold flu allergy
98,juice nectars
105,doughs gelatins bake mixes
127,body lotions soap
95,canned meat seafood
60,trash bags liners
29,honeys syrups nectars
24,fresh fruits
6,other
13,prepared meals
102,baby bath body care
83,fresh vegetables
71,refrigerated pudding desserts
96,lunch meat
121,cereal
43,buns rolls
72,condiments
125,trail mix snack mix
122,meat counter
99,canned fruit applesauce
64,energy sports drinks
131,dry pasta
80,deodorants
86,eggs
130,hot cereal pancake mixes
61,cookies cakes
47,vitamins supplements
52,frozen breakfast
73,facial care
76,indian foods
58,frozen breads doughs
55,shave needs
8,bakery desserts
132,beauty
116,frozen produce
90,cocoa drink mixes
79,frozen pizza
119,frozen dessert
3,energy granola bars
2,specialty cheeses
109,skin care
103,ice cream toppings
84,milk
22,hair care
120,yogurt
35,poultry counter
111,plates bowls cups flatware
124,spirits
41,cat food care
65,protein meal replacements
45,candy chocolate
59,canned meals beans
10,kitchen supplies
129,frozen appetizers sides
123,packaged vegetables fruits
133,muscles joints pain relief
69,soup broth bouillon
56,diapers wipes
42,frozen vegan vegetarian
104,spices seasonings
101,air fresheners candles
44,eye ear care
128,tortillas flat bread
46,mint gum
14,tofu meat alternatives
110,pickled goods olives
33,kosher foods
4,instant foods
48,breakfast bars pastries
70,digestion
89,salad dressing toppings
92,baby food formula
7,packaged meat
74,dish detergents
63,grains rice dried goods
67,fresh dips tapenades
88,spreads
34,frozen meat seafood
115,water seltzer sparkling water
26,coffee
30,latino foods
57,granola
17,baking ingredients
78,crackers
82,baby accessories
31,refrigerated
117,nuts seeds dried fruit
18,bulk dried fruits vegetables
